Name,Team,Level,Age,PA,BB%,K%,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRC+,PlayerId
Jon Singleton,MIL,AAA,30,581,0.20137694,0.27710843,0.21929825,0.37521515,0.43421053,0.80942568,0.21491228,0.27338129,0.363471042,118.4650645,10441
Carlos Perez,COL,AAA,31,522,0.10344828,0.19157088,0.25438596,0.34099617,0.52412281,0.86511898,0.26973685,0.25835866,0.364684982,109.1581416,10642
Delino DeShields,ATL,AAA,29,426,0.17840376,0.27230047,0.21958457,0.36729858,0.26409496,0.63139354,0.04451039,0.32589286,0.311587812,85.00061949,11379
Dixon Machado,CHC,AAA,30,522,0.10153257,0.12260536,0.29067245,0.37164751,0.39045553,0.76210304,0.09978308,0.32653061,0.347130325,105.6900097,11472
Juniel Querecuto,CIN,AAA,29,432,0.06712963,0.18518519,0.25628141,0.30787037,0.41708543,0.7249558,0.16080402,0.29354839,0.319448388,90.07065493,12140
Jorge Bonifacio,PHI,AAA,29,444,0.10585586,0.28153153,0.24020888,0.33558559,0.4073107,0.74289629,0.16710182,0.31174089,0.333603231,99.20046365,12174
Cory Spangenberg,STL,AAA,31,414,0.06521739,0.32608696,0.23560209,0.28985507,0.38481675,0.67467182,0.14921466,0.33472803,0.299036808,76.90528015,12294
Dillon Thomas,HOU,AAA,29,492,0.11382114,0.25813008,0.2705314,0.37804878,0.46618357,0.84423235,0.19565217,0.34432234,0.370793209,113.0028273,12719
John Andreoli,MIN,AAA,32,421,0.18527316,0.35629454,0.18397626,0.33732057,0.3620178,0.69933837,0.17804154,0.27011494,0.323227594,92.44115854,13012
Wynton Bernard,COL,AAA,31,475,0.08210526,0.14105263,0.33333333,0.38736842,0.58974359,0.97711201,0.25641026,0.35260116,0.41024671,137.8359475,13408
Joey Meneses,WSN,AAA,30,414,0.07729469,0.21497585,0.28609626,0.34057971,0.48930481,0.82988452,0.20320855,0.32103321,0.358499882,115.2586894,14366
Pat Valaika,ATL,AAA,29,466,0.08154506,0.20600858,0.24228029,0.30257511,0.36817102,0.67074613,0.12589073,0.28660436,0.300294271,77.71633775,14885
Daniel Palka,NYM,AAA,30,445,0.10786517,0.23595506,0.26329114,0.34382022,0.50632911,0.85014933,0.24303797,0.29433962,0.368856572,121.9387064,14897
Dustin Peterson,MIL,AAA,27,448,0.09821429,0.22767857,0.2425,0.32142857,0.3775,0.69892857,0.135,0.30344828,0.314067281,86.59516228,15189
Tyler White,MIL,AAA,31,437,0.16018307,0.201373,0.22969188,0.35697941,0.41176471,0.76874412,0.18207283,0.25482625,0.346746185,107.6776086,15564
